Log Number,Local Time,Elapsed Time,Value
94                            ,20:26:14                      ,00:00:18.195309               ,22.29                         
95                            ,20:26:14                      ,00:00:18.400355               ,22.41                         
96                            ,20:26:14                      ,00:00:18.602529               ,23.04                         
97                            ,20:26:14                      ,00:00:18.806771               ,23.75                         
98                            ,20:26:14                      ,00:00:19.011024               ,24.29                         
99                            ,20:26:15                      ,00:00:19.214714               ,22.87                         
100                           ,20:26:15                      ,00:00:19.416814               ,19.48                         
101                           ,20:26:15                      ,00:00:19.620694               ,16.23                         
102                           ,20:26:15                      ,00:00:19.825459               ,11.29                         
103                           ,20:26:15                      ,00:00:20.027367               ,9.67                          
104                           ,20:26:16                      ,00:00:20.231034               ,14.13                         
105                           ,20:26:16                      ,00:00:20.434137               ,16.69                         
106                           ,20:26:16                      ,00:00:20.642852               ,13.16                         
107                           ,20:26:16                      ,00:00:20.844463               ,9.84                          
108                           ,20:26:16                      ,00:00:21.049774               ,12.17                         
109                           ,20:26:17                      ,00:00:21.252926               ,16.83                         
110                           ,20:26:17                      ,00:00:21.456525               ,16.06                         
111                           ,20:26:17                      ,00:00:21.658196               ,12.46                         
112                           ,20:26:17                      ,00:00:21.863147               ,8.91                          
113                           ,20:26:17                      ,00:00:22.066553               ,8.50                          
114                           ,20:26:18                      ,00:00:22.266960               ,10.98                         
115                           ,20:26:18                      ,00:00:22.474852               ,14.59                         
116                           ,20:26:18                      ,00:00:22.673378               ,17.37                         
117                           ,20:26:18                      ,00:00:22.882506               ,19.97                         
118                           ,20:26:19                      ,00:00:23.086858               ,21.57                         
119                           ,20:26:19                      ,00:00:23.288566               ,22.70                         
120                           ,20:26:19                      ,00:00:23.495174               ,22.58                         
121                           ,20:26:19                      ,00:00:23.699243               ,22.58                         
122                           ,20:26:19                      ,00:00:23.900302               ,22.63                         
123                           ,20:26:20                      ,00:00:24.104484               ,22.80                         
124                           ,20:26:20                      ,00:00:24.311770               ,22.03                         
125                           ,20:26:20                      ,00:00:24.515766               ,20.21                         
126                           ,20:26:20                      ,00:00:24.713444               ,19.19                         
127                           ,20:26:20                      ,00:00:24.917347               ,16.90                         
128                           ,20:26:21                      ,00:00:25.124042               ,16.25                         
129                           ,20:26:21                      ,00:00:25.327991               ,15.13                         
130                           ,20:26:21                      ,00:00:25.532611               ,14.28                         
131                           ,20:26:21                      ,00:00:25.734443               ,12.94                         
132                           ,20:26:21                      ,00:00:25.935600               ,12.34                         
133                           ,20:26:22                      ,00:00:26.145403               ,11.03                         
134                           ,20:26:22                      ,00:00:26.348857               ,10.73                         
135                           ,20:26:22                      ,00:00:26.547206               ,9.57                          
136                           ,20:26:22                      ,00:00:26.754953               ,10.80                         
137                           ,20:26:22                      ,00:00:26.957768               ,13.23                         
138                           ,20:26:23                      ,00:00:27.162456               ,15.25                         
139                           ,20:26:23                      ,00:00:27.366713               ,16.78                         
140                           ,20:26:23                      ,00:00:27.569717               ,18.19                         
141                           ,20:26:23                      ,00:00:27.769794               ,19.67                         
142                           ,20:26:23                      ,00:00:27.978757               ,20.55                         
143                           ,20:26:24                      ,00:00:28.182748               ,21.78                         
144                           ,20:26:24                      ,00:00:28.386037               ,22.80                         
145                           ,20:26:24                      ,00:00:28.591284               ,24.00                         
146                           ,20:26:24                      ,00:00:28.795511               ,24.82                         
147                           ,20:26:24                      ,00:00:28.992563               ,26.23                         
148                           ,20:26:25                      ,00:00:29.197051               ,26.72                         
149                           ,20:26:25                      ,00:00:29.408740               ,28.17                         
150                           ,20:26:25                      ,00:00:29.613333               ,27.91                         
151                           ,20:26:25                      ,00:00:29.811962               ,25.70                         
152                           ,20:26:25                      ,00:00:30.016562               ,22.68                         
153                           ,20:26:26                      ,00:00:30.221280               ,19.67                         
154                           ,20:26:26                      ,00:00:30.428803               ,18.02                         
155                           ,20:26:26                      ,00:00:30.631428               ,16.30                         
156                           ,20:26:26                      ,00:00:30.834914               ,17.66                         
157                           ,20:26:26                      ,00:00:31.035869               ,18.26                         
158                           ,20:26:27                      ,00:00:31.237747               ,15.35                         
159                           ,20:26:27                      ,00:00:31.447852               ,12.34                         
160                           ,20:26:27                      ,00:00:31.650062               ,12.94                         
161                           ,20:26:27                      ,00:00:31.852216               ,16.59                         
162                           ,20:26:27                      ,00:00:32.052360               ,19.84                         
163                           ,20:26:28                      ,00:00:32.264023               ,22.15                         
164                           ,20:26:28                      ,00:00:32.464216               ,23.32                         
165                           ,20:26:28                      ,00:00:32.665403               ,21.05                         
166                           ,20:26:28                      ,00:00:32.876010               ,17.83                         
167                           ,20:26:28                      ,00:00:33.078768               ,15.42                         
168                           ,20:26:29                      ,00:00:33.281342               ,13.70                         
169                           ,20:26:29                      ,00:00:33.484942               ,15.30                         
170                           ,20:26:29                      ,00:00:33.689917               ,18.89                         
171                           ,20:26:29                      ,00:00:33.894816               ,21.27                         
172                           ,20:26:30                      ,00:00:34.094146               ,23.21                         
173                           ,20:26:30                      ,00:00:34.303358               ,24.06                         
174                           ,20:26:30                      ,00:00:34.507272               ,23.99                         
175                           ,20:26:30                      ,00:00:34.706857               ,23.99                         
176                           ,20:26:30                      ,00:00:34.910171               ,24.28                         
177                           ,20:26:31                      ,00:00:35.120624               ,24.00                         
178                           ,20:26:31                      ,00:00:35.324862               ,23.95                         
179                           ,20:26:31                      ,00:00:35.528089               ,23.99                         
180                           ,20:26:31                      ,00:00:35.729318               ,23.63                         
181                           ,20:26:31                      ,00:00:35.932760               ,23.27                         
182                           ,20:26:32                      ,00:00:36.137500               ,22.64                         
183                           ,20:26:32                      ,00:00:36.345851               ,22.10                         
184                           ,20:26:32                      ,00:00:36.547333               ,22.29                         
185                           ,20:26:32                      ,00:00:36.747833               ,22.75                         
186                           ,20:26:32                      ,00:00:36.958268               ,22.32                         
187                           ,20:26:33                      ,00:00:37.160999               ,22.34                         
188                           ,20:26:33                      ,00:00:37.364173               ,22.22                         
189                           ,20:26:33                      ,00:00:37.568877               ,22.22                         
190                           ,20:26:33                      ,00:00:37.774871               ,22.15                         
191                           ,20:26:33                      ,00:00:37.973705               ,21.93                         
192                           ,20:26:34                      ,00:00:38.177516               ,21.76                         
193                           ,20:26:34                      ,00:00:38.380441               ,21.62                         
194                           ,20:26:34                      ,00:00:38.591325               ,21.91                         
195                           ,20:26:34                      ,00:00:38.791136               ,21.74                         
196                           ,20:26:34                      ,00:00:38.999335               ,21.39                         
197                           ,20:26:35                      ,00:00:39.196414               ,20.55                         
198                           ,20:26:35                      ,00:00:39.407558               ,20.26                         
199                           ,20:26:35                      ,00:00:39.608388               ,20.31                         
200                           ,20:26:35                      ,00:00:39.811223               ,19.60                         
201                           ,20:26:35                      ,00:00:40.019394               ,19.84                         
202                           ,20:26:36                      ,00:00:40.223436               ,19.14                         
203                           ,20:26:36                      ,00:00:40.427504               ,18.89                         
204                           ,20:26:36                      ,00:00:40.630315               ,18.96                         
205                           ,20:26:36                      ,00:00:40.833548               ,18.26                         
206                           ,20:26:36                      ,00:00:41.031786               ,17.95                         
207                           ,20:26:37                      ,00:00:41.240708               ,18.19                         
208                           ,20:26:37                      ,00:00:41.442735               ,17.43                         
209                           ,20:26:37                      ,00:00:41.644174               ,16.95                         
210                           ,20:26:37                      ,00:00:41.854598               ,16.83                         
211                           ,20:26:37                      ,00:00:42.057257               ,16.78                         
212                           ,20:26:38                      ,00:00:42.260031               ,16.30                         
213                           ,20:26:38                      ,00:00:42.463973               ,15.83                         
214                           ,20:26:38                      ,00:00:42.669696               ,15.06                         
215                           ,20:26:38                      ,00:00:42.873452               ,14.99                         
216                           ,20:26:38                      ,00:00:43.072960               ,14.35                         
217                           ,20:26:39                      ,00:00:43.278916               ,13.75                         
218                           ,20:26:39                      ,00:00:43.484129               ,13.04                         
219                           ,20:26:39                      ,00:00:43.687836               ,13.04                         
220                           ,20:26:39                      ,00:00:43.891358               ,13.28                         
221                           ,20:26:40                      ,00:00:44.087410               ,13.11                         
222                           ,20:26:40                      ,00:00:44.293401               ,13.06                         
223                           ,20:26:40                      ,00:00:44.500186               ,13.21                         
224                           ,20:26:40                      ,00:00:44.705868               ,12.94                         
225                           ,20:26:40                      ,00:00:44.909421               ,13.04                         
226                           ,20:26:41                      ,00:00:45.111624               ,12.92                         
227                           ,20:26:41                      ,00:00:45.316619               ,12.94                         
228                           ,20:26:41                      ,00:00:45.517044               ,12.39                         
229                           ,20:26:41                      ,00:00:45.720480               ,13.41                         
230                           ,20:26:41                      ,00:00:45.926678               ,14.47                         
231                           ,20:26:42                      ,00:00:46.126940               ,14.71                         
232                           ,20:26:42                      ,00:00:46.334759               ,14.71                         
233                           ,20:26:42                      ,00:00:46.536722               ,14.88                         
234                           ,20:26:42                      ,00:00:46.738229               ,14.82                         
235                           ,20:26:42                      ,00:00:46.940685               ,14.82                         
236                           ,20:26:43                      ,00:00:47.149661               ,14.72                         
237                           ,20:26:43                      ,00:00:47.349498               ,14.59                         
238                           ,20:26:43                      ,00:00:47.557061               ,14.59                         
239                           ,20:26:43                      ,00:00:47.755192               ,14.42                         
240                           ,20:26:43                      ,00:00:47.963256               ,14.35                         
241                           ,20:26:44                      ,00:00:48.166507               ,14.30                         
242                           ,20:26:44                      ,00:00:48.371648               ,14.35                         
243                           ,20:26:44                      ,00:00:48.569550               ,14.28                         
244                           ,20:26:44                      ,00:00:48.779219               ,14.35                         
245                           ,20:26:44                      ,00:00:48.979447               ,14.30                         
246                           ,20:26:45                      ,00:00:49.185106               ,13.46                         
247                           ,20:26:45                      ,00:00:49.389930               ,13.41                         
248                           ,20:26:45                      ,00:00:49.590369               ,13.52                         
249                           ,20:26:45                      ,00:00:49.794436               ,13.41                         
250                           ,20:26:45                      ,00:00:49.999318               ,13.41                         
251                           ,20:26:46                      ,00:00:50.203250               ,13.35                         
252                           ,20:26:46                      ,00:00:50.402699               ,12.94                         
253                           ,20:26:46                      ,00:00:50.610783               ,12.61                         
254                           ,20:26:46                      ,00:00:50.813490               ,12.99                         
255                           ,20:26:46                      ,00:00:51.017117               ,12.75                         
256                           ,20:26:47                      ,00:00:51.214657               ,12.63                         
257                           ,20:26:47                      ,00:00:51.422752               ,12.63                         
258                           ,20:26:47                      ,00:00:51.629442               ,12.75                         
259                           ,20:26:47                      ,00:00:51.831223               ,12.77                         
260                           ,20:26:47                      ,00:00:52.029289               ,12.92                         
261                           ,20:26:48                      ,00:00:52.234752               ,12.82                         
262                           ,20:26:48                      ,00:00:52.432605               ,12.92                         
263                           ,20:26:48                      ,00:00:52.638353               ,12.89                         
264                           ,20:26:48                      ,00:00:52.842920               ,12.82                         
265                           ,20:26:48                      ,00:00:53.049304               ,12.87                         
266                           ,20:26:49                      ,00:00:53.246111               ,13.33                         
267                           ,20:26:49                      ,00:00:53.455500               ,13.09                         
268                           ,20:26:49                      ,00:00:53.663226               ,13.28                         
269                           ,20:26:49                      ,00:00:53.867919               ,14.16                         
270                           ,20:26:49                      ,00:00:54.072132               ,14.59                         
